last_name,site_id,sample,siteid_sample,substrate,landcover,landcover_details,burn_hx,burn_year,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,hg_ng,hg_ngg,hg_mg_m2
Melton,RP1,25,RP1_24,soil,peat plateau,river adjacent,u,NA,61.23888,-163.25842,0.8268,0.403,5.81,0.0578,24,5.59,7.786,128.652,2.23082568
Melton,RP1,26,RP1_24,soil,peat plateau,river adjacent,u,NA,61.23884,-163.25829,0.8187,0.439,5.58,0.1222,31,16.64,4.233,84.626,3.10238916
Moubarak,UBD1,MM61,UBD1_MM61,soil,NA,NA,u,NA,61.26312,-163.25008,0.8664,0.374,0.8491,0.0122,24,1.1,9.017,134.884,0.49367544
Moubarak,UBD1,MM67,UBD1_MM61,soil,NA,NA,u,NA,61.26312,-163.25008,0.8922,0.359,0.8313,0.046,12,1.98,14.182,206.314,2.8471332
Moubarak,UBD1,MM83,UBD1_MM61,soil,NA,NA,u,NA,61.26312,-163.25008,0.8742,0.457,0.8321,0.0196,22,1.97,12.293,250.52,1.4730576
Moubarak,UBD13,MM19,UBM15_MM11,soil,NA,NA,u,NA,61.26125,-163.24182,0.9292,0.398,0.8271,0.061,29,7.04,10.014,198.14,3.625962
Moubarak,UBD13,MM33,UBM15_MM11,soil,NA,NA,u,NA,61.26125,-163.24182,0.9095,0.386,0.8023,0.0346,16,2.14,24.01,348,3.61224
Moubarak,UBD13,MM45,UBM15_MM11,soil,NA,NA,u,NA,61.26125,-163.24182,0.9168,0.434,0.8171,0.0586,20,5.1,24.509,295.147,5.18868426
Moubarak,UBD15,MM13,UBD15_MM13,soil,NA,NA,u,NA,61.26117,-163.24188,0.9221,0.363,0.7426,0.027,24,2.36,22.754,272.83,2.209923
Moubarak,UBD15,MM5,UBD15_MM13,soil,NA,NA,u,NA,61.26117,-163.24188,0.8352,0.317,0.7899,0.0728,23,5.3,12.364,149.378,3.26241552
Moubarak,UBD16,MM10,UBM14_MM16,soil,NA,NA,u,NA,61.26099,-163.24173,0.838,0.367,0.787,0.0469,21,3.62,17.573,230.89,3.2486223
Moubarak,UBD16,MM17,UBM14_MM16,soil,NA,NA,u,NA,61.26099,-163.24173,0.8935,0.374,0.7617,0.0864,18.5,5.98,13.658,184.867,4.79175264
Moubarak,UBD16,MM56,UBM14_MM16,soil,NA,NA,u,NA,61.26099,-163.24173,0.935,0.333,0.752,0.0534,21,3.73,23.866,240.028,3.84524856
