date_anlyzd,name,mass_mg,hg_ng,hg_ngg
2022-10-11,AM62,49.810,2.217,44.509
2022-10-11,AM63,48.510,4.166,85.879
2022-10-11,AM64,45.170,1.788,39.584
2022-10-11,AM65,47.740,2.553,53.477
2022-10-11,AM66,48.750,2.281,46.790
2022-10-11,AM67,41.480,1.201,28.954
2022-10-11,27,83.360,4.986,59.813
2022-10-11,28,86.490,5.808,67.152
2022-10-11,blank,0.000,-0.015,
2022-10-11,mess4,94.140,7.630,81.050
2022-10-11,30,58.380,7.342,125.762
2022-10-11,31,60.920,6.592,108.207
2022-10-11,32,63.830,5.681,89.002
2022-10-11,36,64.870,6.735,103.823
2022-10-11,37,58.930,4.785,81.198
2022-10-11,38,52.220,4.847,92.819
2022-10-11,39,65.530,9.589,146.330
2022-10-11,40,83.160,5.565,66.919
2022-10-11,blank,0.000,-0.013,
2022-10-11,mess4,95.890,7.767,80.999
2022-10-11,42,87.900,9.272,105.484
2022-10-11,43,66.350,6.835,103.014
2022-10-11,44,54.360,7.792,143.341
2022-10-11,57,59.270,6.251,105.467
2022-10-18,58,84.050,9.051,107.686
2022-10-18,59,62.320,5.752,92.298
2022-10-18,60,63.930,4.430,69.295
2022-10-18,61,44.850,8.259,184.147
2022-10-18,blank,0.000,-0.010,
2022-10-18,mess4,98.260,7.711,78.475
2022-10-18,65,75.550,6.355,84.116
2022-10-18,66,49.970,5.016,100.380
2022-10-18,67,60.860,6.407,105.274
2022-10-18,68,55.510,8.249,148.604
2022-10-18,69,67.610,9.763,144.402
2022-10-18,70,50.450,7.460,147.869
2022-10-18,71,60.670,3.545,58.431
2022-10-18,72,55.720,5.496,98.636
2022-10-18,blank,0.000,-0.012,
2022-10-18,mess4,97.740,7.772,79.517
2022-10-18,74,52.040,1.774,34.089
2022-10-18,76,52.260,1.484,28.396
2022-10-18,91,49.660,1.988,40.032
2022-10-18,92,48.180,8.736,181.320
2022-10-18,93,47.280,2.539,53.701
2022-10-18,94,61.560,12.853,208.788
2022-10-18,95,62.490,3.721,59.546
2022-10-18,96,86.680,13.904,160.406
2022-10-18,blank,0.000,-0.013,
2022-10-18,mess4,98.590,7.819,79.308
2022-10-18,104,52.870,9.231,174.598
2022-10-18,105,60.730,4.581,75.432
2022-10-18,106,68.330,14.048,205.591
2022-10-18,107,56.020,3.434,61.300
2022-10-18,108,58.350,9.476,162.399
2022-10-18,62,83.270,7.825,93.971
2022-09-22,MM9,56.475,11.169,197.893
2022-09-22,MM18,76.015,18.910,248.732
2022-09-22,MM33,69.015,24.010,348.000
2022-09-22,MM57,91.880,7.518,81.846
2022-09-22,MM80,64.205,13.029,202.921
2022-09-29,AM3,89.695,15.333,171.217
2022-09-29,AM17,62.875,2.669,42.441
2022-09-29,AM39,45.455,4.438,97.535
2022-09-29,3,54.745,4.667,85.247
2022-09-29,12,76.805,11.205,145.878
2022-09-29,21,64.865,8.198,126.387
2022-10-04,45,49.105,6.468,131.688
2022-10-04,53,81.795,11.803,144.435
2022-10-04,88,56.450,6.396,112.874
2022-10-04,ENP UNB22S,51.455,6.320,122.808
2022-10-04,MM40,52.475,10.174,193.889
2022-10-04,MM52,63.410,16.634,261.998
2022-10-06,MM70,69.335,12.883,185.242
