n,last_name,year,vial_num,vial_n,landcover,landcover_details,substrate,substrate_type,site_code,sample_id,site_id,lat_dd,lon_dd,om_prop,c_prop,gwc_prop,bd_gcm3,depth_cm,c_kg_m2,burn_hx,burn_year
182,Melton,2017,7,NA,peat plateau,peat plateau,soil,NA,LK P2,LK P2 A25,LK P2,61.25691,-163.23877,0.8689,0.457,6.96,0.0522,33,7.87,u,NA
183,Melton,2017,8,NA,peat plateau,peat plateau,soil,NA,LK P2,LK P2 B25,LK P2,61.25685,-163.23856,0.8871,0.43,7.34,0.0428,26,4.79,u,NA
184,Melton,2017,9,NA,peat plateau,peat plateau,soil,NA,LK P2,LK P2 C25,LK P2,61.2568,-163.2384,0.8104,0.415,4.72,0.0963,37,14.77,u,NA
176,Melton,2017,1,NA,peat plateau,degraded,soil,NA,LK20,LK20 A25,LK20,61.26082,-163.24644,0.8774,0.472,3.35,0.1501,32,22.69,u,NA
177,Melton,2017,2,NA,peat plateau,degraded,soil,NA,LK20,LK20 B25,LK20,61.2608,-163.24672,0.891,0.464,NA,0.0644,34,10.16,u,NA
178,Melton,2017,3,NA,peat plateau,degraded,soil,NA,LK20,LK20 C25,LK20,61.26079,-163.24693,0.8528,0.466,6.83,0.0778,31,11.25,u,NA
179,Melton,2017,4,NA,peat plateau,tussocks,soil,NA,LK21,LK21 A25,LK21,61.26027,-163.24229,0.9051,0.452,5.79,0.0602,30,8.17,u,NA
180,Melton,2017,5,NA,peat plateau,tussocks,soil,NA,LK21,LK21 B25,LK21,61.26023,-163.24246,0.9227,0.452,6.54,0.0503,35,7.96,u,NA
181,Melton,2017,6,NA,peat plateau,tussocks,soil,NA,LK21,LK21 C25,LK21,61.26008,-163.24261,0.9411,0.493,5.83,0.052,24,6.15,u,NA
193,Melton,2017,18,NA,peat plateau,lichen,soil,NA,LP1,LP1 A20,LP1,61.23603,-163.24648,0.8476,0.436,3.73,0.1082,24,11.31,u,NA
194,Melton,2017,19,NA,peat plateau,lichen,soil,NA,LP1,LP1 B20,LP1,61.236,-163.24629,0.9097,0.443,8.9,0.0696,35,10.79,u,NA
195,Melton,2017,20,NA,peat plateau,lichen,soil,NA,LP1,LP1 C20,LP1,61.23598,-163.24619,0.5876,0.399,2.28,0.2266,26,23.51,u,NA
21,Moubarak,2019,MM39,NA,NA,NA,soil,NA,M1,M1C3,M1,61.26452,-163.2495,0.8917,0.441,0.85,0.0826,25,9.1,b,2015
22,Moubarak,2019,MM65,NA,NA,NA,soil,NA,M1,M1C1,M1,61.26452,-163.2495,0.958,0.443,0.8667,0.0309,15,2.05,b,2015
